population,households,total_rooms
1807.0,440.0,1776.0
1700.0,495.0,1678.0
1543.0,393.0,1637.0
1085.0,300.0,1420.0
353.0,137.0,591.0
473.0,149.0,745.0
1621.0,483.0,2272.0
1183.0,354.0,1234.0
836.0,277.0,1017.0
900.0,263.0,932.0
1888.0,537.0,2689.0
1024.0,341.0,1547.0
1225.0,423.0,2300.0
1071.0,376.0,1752.0
1128.0,378.0,1867.0
1537.0,484.0,2430.0
1240.0,393.0,1729.0
469.0,168.0,1026.0
1086.0,425.0,2170.0
1144.0,417.0,2329.0
1109.0,375.0,2492.0
984.0,369.0,2198.0
575.0,47.0,142.0
496.0,209.0,1183.0
555.0,190.0,1070.0
869.0,327.0,1766.0
236.0,106.0,617.0
626.0,214.0,1411.0
922.0,329.0,2109.0
582.0,256.0,1229.0
546.0,201.0,954.0
620.0,266.0,1643.0
442.0,195.0,1355.0
955.0,328.0,2317.0
916.0,324.0,2459.0
4985.0,1967.0,12842.0
651.0,267.0,1524.0
1704.0,703.0,3326.0
1085.0,407.0,1985.0
713.0,284.0,1642.0
468.0,181.0,893.0
296.0,121.0,653.0
446.0,180.0,977.0
968.0,384.0,2324.0
857.0,316.0,1583.0
912.0,322.0,1612.0
1360.0,452.0,2424.0
1074.0,355.0,1594.0
965.0,382.0,2118.0
933.0,320.0,1575.0
987.0,354.0,1764.0
907.0,246.0,1187.0
447.0,165.0,754.0
1299.0,451.0,2308.0
396.0,157.0,909.0
877.0,268.0,1180.0
1111.0,367.0,2018.0
790.0,269.0,1368.0
1479.0,554.0,2744.0
1173.0,438.0,2107.0
1029.0,366.0,1748.0
1030.0,350.0,2024.0
826.0,279.0,1116.0
1412.0,454.0,2036.0
1132.0,349.0,1852.0
522.0,159.0,921.0
630.0,237.0,995.0
531.0,133.0,606.0
1925.0,667.0,2680.0
1144.0,351.0,1493.0
1481.0,520.0,2207.0
435.0,162.0,856.0
984.0,303.0,1293.0
567.0,159.0,847.0
380.0,123.0,541.0
825.0,244.0,1066.0
417.0,155.0,707.0
801.0,287.0,1528.0
646.0,198.0,909.0
855.0,285.0,1391.0
435.0,136.0,548.0
2736.0,780.0,4074.0
1481.0,414.0,1613.0
327.0,137.0,463.0
494.0,179.0,818.0
1231.0,341.0,1473.0
323.0,109.0,504.0
749.0,225.0,1026.0
693.0,178.0,769.0
1339.0,354.0,2103.0
282.0,80.0,330.0
621.0,195.0,941.0
901.0,260.0,990.0
482.0,150.0,1126.0
652.0,213.0,1036.0
651.0,166.0,1047.0
999.0,286.0,1280.0
907.0,306.0,1587.0
828.0,230.0,1257.0
763.0,254.0,1218.0
935.0,349.0,1751.0
1437.0,484.0,2299.0
1516.0,482.0,2457.0
597.0,185.0,998.0
949.0,342.0,1685.0
881.0,302.0,1827.0
1438.0,519.0,2781.0
763.0,270.0,1823.0
1297.0,355.0,2229.0
545.0,211.0,1513.0
1222.0,533.0,3266.0
808.0,219.0,1809.0
329.0,109.0,794.0
299.0,109.0,690.0
579.0,202.0,1334.0
137.0,50.0,414.0
229.0,93.0,768.0
1476.0,648.0,4400.0
429.0,154.0,954.0
849.0,255.0,1445.0
946.0,331.0,1938.0
571.0,191.0,856.0
1137.0,386.0,1790.0
378.0,135.0,617.0
853.0,272.0,1383.0
764.0,282.0,1325.0
928.0,261.0,1227.0
406.0,133.0,667.0
824.0,280.0,1223.0
835.0,259.0,1379.0
826.0,295.0,1534.0
567.0,211.0,1029.0
355.0,144.0,771.0
533.0,166.0,824.0
609.0,215.0,1097.0
576.0,236.0,1283.0
594.0,286.0,1604.0
870.0,377.0,2248.0
1027.0,509.0,2263.0
693.0,326.0,1571.0
815.0,375.0,1520.0
2420.0,1146.0,5083.0
518.0,276.0,1077.0
620.0,275.0,1248.0
551.0,266.0,1342.0
2556.0,924.0,3061.0
1498.0,696.0,3171.0
523.0,227.0,1211.0
374.0,153.0,979.0
1004.0,371.0,2269.0
769.0,334.0,1844.0
940.0,423.0,2178.0
645.0,256.0,1650.0
705.0,288.0,1927.0
684.0,275.0,2079.0
572.0,236.0,1803.0
671.0,253.0,2041.0
975.0,365.0,3046.0
779.0,312.0,2318.0
658.0,244.0,2003.0
819.0,335.0,2261.0
412.0,168.0,1225.0
835.0,369.0,2315.0
722.0,306.0,2070.0
1085.0,487.0,2616.0
973.0,355.0,2640.0
723.0,272.0,1978.0
903.0,362.0,2220.0
356.0,181.0,1125.0
1005.0,462.0,3078.0
1205.0,504.0,3706.0
987.0,450.0,3000.0
1031.0,448.0,2863.0
894.0,404.0,2551.0
823.0,377.0,2255.0
1232.0,621.0,3360.0
669.0,367.0,1693.0
989.0,550.0,2252.0
1058.0,464.0,2495.0
506.0,207.0,1193.0
489.0,218.0,1172.0
824.0,388.0,2159.0
1034.0,475.0,2365.0
920.0,425.0,1895.0
841.0,380.0,1650.0
749.0,137.0,453.0
208.0,98.0,409.0
228.0,100.0,503.0
287.0,128.0,499.0
218.0,106.0,477.0
854.0,355.0,1647.0
1695.0,684.0,3123.0
403.0,172.0,957.0
288.0,131.0,589.0
963.0,521.0,2026.0
1129.0,516.0,1829.0
386.0,204.0,895.0
811.0,406.0,1909.0
1293.0,675.0,3022.0
805.0,431.0,1777.0
1372.0,876.0,2803.0
862.0,425.0,1465.0
1152.0,616.0,2619.0
483.0,249.0,1149.0
1558.0,573.0,2363.0
1798.0,769.0,2604.0
266.0,123.0,685.0
2184.0,422.0,1756.0
2016.0,477.0,1204.0
1349.0,250.0,609.0
3337.0,350.0,1087.0
1721.0,949.0,2773.0
1675.0,1000.0,3218.0
707.0,350.0,1350.0
1424.0,694.0,3084.0
393.0,189.0,938.0
828.0,339.0,1813.0
571.0,292.0,1233.0
1382.0,713.0,2539.0
792.0,321.0,1267.0
815.0,372.0,1665.0
788.0,346.0,1659.0
1145.0,430.0,2225.0
1354.0,563.0,2485.0
958.0,445.0,2031.0
1361.0,608.0,2932.0
1005.0,449.0,2246.0
924.0,414.0,2052.0
780.0,358.0,1999.0
1582.0,636.0,3007.0
1213.0,568.0,2214.0
486.0,267.0,1088.0
494.0,175.0,834.0
849.0,365.0,1769.0
1127.0,548.0,2307.0
3276.0,1742.0,5161.0
1493.0,794.0,3497.0
1461.0,679.0,3774.0
1253.0,538.0,2888.0
1656.0,459.0,2153.0
514.0,202.0,1389.0
719.0,295.0,1709.0
878.0,449.0,1587.0
517.0,214.0,1668.0
1366.0,496.0,3726.0
1316.0,590.0,4048.0
1508.0,755.0,3618.0
1800.0,815.0,4076.0
719.0,326.0,2077.0
675.0,255.0,1279.0
875.0,363.0,1974.0
152.0,77.0,335.0
843.0,319.0,1375.0
281.0,132.0,610.0
506.0,204.0,1025.0
1054.0,466.0,2063.0
1017.0,414.0,1872.0
1623.0,765.0,3108.0
3100.0,2051.0,7355.0
947.0,361.0,2990.0
808.0,315.0,2492.0
1018.0,335.0,2991.0
1001.0,352.0,3242.0
1005.0,369.0,3051.0
1192.0,383.0,3494.0
585.0,227.0,1757.0
916.0,316.0,2449.0
556.0,179.0,1611.0
1470.0,520.0,3665.0
1104.0,398.0,2474.0
1242.0,518.0,3037.0
805.0,321.0,2269.0
378.0,162.0,1316.0
481.0,223.0,1153.0
409.0,160.0,772.0
885.0,373.0,1711.0
1468.0,567.0,2650.0
482.0,215.0,1038.0
825.0,264.0,1527.0
429.0,158.0,859.0
528.0,208.0,970.0
496.0,216.0,1045.0
718.0,265.0,1408.0
630.0,265.0,1222.0
723.0,286.0,1169.0
959.0,486.0,2020.0
3668.0,855.0,4145.0
2037.0,355.0,2038.0
821.0,300.0,1241.0
870.0,347.0,1468.0
1901.0,966.0,3997.0
1243.0,663.0,2873.0
730.0,327.0,1487.0
793.0,299.0,1670.0
1033.0,434.0,2252.0
872.0,363.0,1731.0
849.0,457.0,1710.0
1121.0,518.0,2388.0
872.0,445.0,2156.0
637.0,297.0,1565.0
663.0,340.0,1704.0
411.0,172.0,1210.0
915.0,413.0,2097.0
921.0,477.0,1848.0
585.0,266.0,955.0
2086.0,1053.0,4329.0
1303.0,535.0,3011.0
374.0,176.0,1049.0
979.0,472.0,2504.0
827.0,446.0,1846.0
658.0,253.0,1705.0
654.0,268.0,1542.0
1499.0,797.0,4051.0
1128.0,522.0,2646.0
1110.0,492.0,2428.0
1119.0,415.0,2567.0
2930.0,1235.0,7031.0
897.0,390.0,1914.0
7427.0,2718.0,18634.0
2973.0,1312.0,5785.0
1340.0,632.0,2876.0
2974.0,1484.0,6909.0
2690.0,1151.0,5679.0
583.0,326.0,1156.0
5781.0,2007.0,14316.0
1738.0,512.0,3596.0
1478.0,529.0,3541.0
746.0,270.0,1808.0
1235.0,455.0,2879.0
1411.0,484.0,3204.0
1368.0,521.0,3866.0
1048.0,367.0,2476.0
1004.0,365.0,2211.0
1086.0,367.0,2663.0
922.0,350.0,2599.0
1950.0,819.0,4569.0
1413.0,595.0,2973.0
1444.0,568.0,3115.0
749.0,269.0,1843.0
867.0,329.0,2053.0
2723.0,1035.0,6740.0
731.0,263.0,1751.0
781.0,301.0,1663.0
1784.0,652.0,3716.0
1156.0,410.0,2718.0
645.0,277.0,1420.0
821.0,315.0,1893.0
1912.0,770.0,3906.0
1487.0,694.0,3400.0
1645.0,710.0,3402.0
2239.0,1051.0,4413.0
1021.0,552.0,2304.0
1105.0,467.0,2350.0
2999.0,1295.0,5914.0
740.0,284.0,1575.0
629.0,244.0,1414.0
314.0,205.0,848.0
1479.0,668.0,3051.0
1732.0,800.0,4296.0
1338.0,550.0,2898.0
440.0,192.0,1071.0
922.0,393.0,2619.0
611.0,288.0,1494.0
994.0,412.0,2260.0
545.0,230.0,1394.0
317.0,143.0,1028.0
1573.0,736.0,3758.0
925.0,435.0,2163.0
768.0,385.0,1699.0
620.0,292.0,1555.0
425.0,207.0,1114.0
1003.0,305.0,1498.0
519.0,135.0,726.0
481.0,198.0,890.0
1209.0,519.0,2639.0
1398.0,525.0,2562.0
158.0,58.0,361.0
1817.0,664.0,3008.0
766.0,289.0,1369.0
814.0,328.0,1692.0
618.0,239.0,1007.0
2139.0,789.0,3783.0
632.0,253.0,1507.0
366.0,134.0,666.0
877.0,485.0,2229.0
830.0,573.0,2215.0
739.0,379.0,1616.0
540.0,266.0,1190.0
2024.0,962.0,4169.0
823.0,334.0,2024.0
711.0,353.0,1723.0
931.0,368.0,2264.0
686.0,270.0,1996.0
1030.0,397.0,2862.0
976.0,392.0,2183.0
552.0,210.0,1037.0
340.0,171.0,1134.0
288.0,132.0,786.0
555.0,248.0,1397.0
1006.0,444.0,2315.0
776.0,346.0,1613.0
609.0,270.0,1421.0
2441.0,1352.0,5778.0
1364.0,789.0,3094.0
2197.0,1044.0,3905.0
1333.0,544.0,3046.0
1810.0,703.0,3516.0
531.0,183.0,998.0
672.0,261.0,1464.0
695.0,330.0,1463.0
2162.0,998.0,4124.0
1216.0,643.0,2380.0
606.0,239.0,1266.0
1203.0,379.0,2239.0
874.0,301.0,1571.0
637.0,222.0,1246.0
703.0,276.0,1501.0
733.0,229.0,1468.0
625.0,228.0,1118.0
568.0,225.0,1097.0
836.0,311.0,1719.0
952.0,362.0,1755.0
568.0,352.0,1687.0
1125.0,366.0,2262.0
840.0,401.0,2087.0
796.0,283.0,1480.0
863.0,267.0,1545.0
1349.0,486.0,2632.0
929.0,383.0,2261.0
957.0,335.0,1670.0
1093.0,555.0,2141.0
1489.0,607.0,3337.0
1561.0,628.0,3184.0
1256.0,485.0,2341.0
695.0,279.0,1197.0
560.0,237.0,1131.0
632.0,289.0,1164.0
1849.0,750.0,3495.0
1287.0,538.0,2488.0
1580.0,536.0,2681.0
1571.0,579.0,2495.0
828.0,443.0,1689.0
835.0,338.0,1298.0
1765.0,724.0,2693.0
1562.0,618.0,2444.0
768.0,309.0,1472.0
1140.0,472.0,2227.0
83.0,31.0,200.0
485.0,171.0,1283.0
1189.0,573.0,2445.0
586.0,249.0,1307.0
2240.0,792.0,3785.0
867.0,352.0,2031.0
3827.0,1288.0,8299.0
3827.0,1294.0,7518.0
1280.0,431.0,1815.0
2667.0,1047.0,5367.0
253.0,137.0,1167.0
1401.0,607.0,2607.0
233.0,152.0,493.0
673.0,308.0,1252.0
704.0,314.0,1382.0
273.0,120.0,500.0
1120.0,540.0,2333.0
1105.0,467.0,1834.0
569.0,293.0,1415.0
691.0,324.0,1352.0
1109.0,448.0,2116.0
1197.0,465.0,1976.0
1061.0,400.0,1779.0
2479.0,903.0,3659.0
1162.0,389.0,1892.0
1146.0,448.0,1958.0
724.0,267.0,1553.0
975.0,375.0,2412.0
952.0,370.0,2110.0
1159.0,399.0,2179.0
1129.0,422.0,2457.0
1175.0,401.0,2147.0
924.0,328.0,1676.0
1424.0,538.0,2976.0
1366.0,500.0,3036.0
1171.0,390.0,2472.0
641.0,243.0,1487.0
880.0,332.0,2012.0
1495.0,543.0,3156.0
914.0,317.0,1748.0
1798.0,694.0,3429.0
1625.0,665.0,3592.0
599.0,224.0,1035.0
2037.0,703.0,3028.0
1854.0,603.0,2431.0
1408.0,478.0,2069.0
766.0,271.0,1340.0
725.0,274.0,1160.0
1019.0,340.0,2015.0
1830.0,743.0,3882.0
1469.0,616.0,3239.0
1198.0,624.0,2932.0
1039.0,394.0,2104.0
690.0,242.0,1694.0
1155.0,415.0,3000.0
1066.0,384.0,2419.0
1255.0,587.0,2280.0
2461.0,1042.0,5031.0
1063.0,356.0,1547.0
2181.0,740.0,3300.0
3069.0,1299.0,5018.0
1093.0,374.0,1813.0
1349.0,437.0,1997.0
599.0,206.0,901.0
480.0,149.0,686.0
1293.0,448.0,1954.0
1414.0,634.0,2630.0
543.0,184.0,1130.0
572.0,194.0,1184.0
342.0,112.0,656.0
2332.0,603.0,2544.0
768.0,234.0,1305.0
913.0,299.0,1755.0
1726.0,643.0,2843.0
1185.0,501.0,2538.0
735.0,278.0,1784.0
796.0,319.0,1797.0
252.0,82.0,410.0
86.0,25.0,162.0
5613.0,1946.0,9963.0
1727.0,467.0,2361.0
407.0,183.0,862.0
2041.0,734.0,4335.0
854.0,301.0,1487.0
1907.0,746.0,3592.0
264.0,77.0,432.0
735.0,249.0,1457.0
836.0,292.0,1578.0
1377.0,408.0,2172.0
789.0,248.0,1340.0
662.0,226.0,1116.0
853.0,271.0,1885.0
664.0,200.0,1180.0
4065.0,1113.0,5267.0
1109.0,418.0,1897.0
548.0,185.0,767.0
431.0,149.0,691.0
463.0,160.0,786.0
5436.0,1463.0,5861.0
2028.0,693.0,2784.0
2426.0,862.0,4524.0
1038.0,282.0,1468.0
857.0,430.0,1655.0
848.0,291.0,1227.0
729.0,220.0,1160.0
369.0,159.0,952.0
1001.0,350.0,2072.0
1472.0,527.0,2964.0
453.0,176.0,1032.0
328.0,134.0,657.0
793.0,302.0,1540.0
632.0,204.0,1298.0
1002.0,281.0,1409.0
808.0,241.0,1383.0
727.0,215.0,1151.0
455.0,185.0,899.0
1534.0,346.0,1793.0
1139.0,550.0,2485.0
1175.0,337.0,1931.0
1401.0,453.0,2329.0
3388.0,1289.0,6711.0
841.0,364.0,1939.0
705.0,351.0,1642.0
1148.0,310.0,1619.0
391.0,107.0,517.0
992.0,249.0,1570.0
790.0,243.0,1213.0
1016.0,313.0,1826.0
1039.0,395.0,2261.0
2341.0,703.0,3666.0
1382.0,338.0,1633.0
1858.0,437.0,2155.0
1156.0,300.0,1295.0
1097.0,328.0,1295.0
831.0,268.0,1518.0
1873.0,602.0,3314.0
1640.0,514.0,3009.0
1568.0,433.0,2605.0
3174.0,817.0,5159.0
1186.0,310.0,1726.0
1367.0,355.0,1816.0
1680.0,528.0,2578.0
1657.0,410.0,2576.0
1033.0,267.0,1644.0
1117.0,268.0,1606.0
2003.0,488.0,3349.0
2568.0,653.0,3475.0
1461.0,344.0,1893.0
1116.0,273.0,1727.0
3163.0,1274.0,6243.0
1488.0,389.0,2077.0
855.0,319.0,1165.0
2530.0,817.0,4371.0
240.0,149.0,838.0
2097.0,728.0,3052.0
2629.0,721.0,4313.0
295.0,92.0,385.0
2056.0,628.0,3046.0
2172.0,789.0,4342.0
1777.0,559.0,3575.0
2079.0,975.0,4126.0
1276.0,485.0,2878.0
2071.0,688.0,4405.0
8117.0,2847.0,16199.0
8012.0,2606.0,14917.0
3436.0,1057.0,5719.0
5019.0,1379.0,8647.0
4576.0,1348.0,8112.0
6075.0,1797.0,10648.0
648.0,245.0,1150.0
7205.0,2753.0,14014.0
2461.0,829.0,4332.0
914.0,316.0,1716.0
2841.0,924.0,4981.0
4446.0,1491.0,8444.0
1531.0,736.0,3028.0
1434.0,495.0,2068.0
909.0,267.0,1325.0
1174.0,501.0,2563.0
2641.0,971.0,5505.0
3288.0,1235.0,6462.0
1606.0,838.0,3746.0
4518.0,1772.0,8918.0
986.0,322.0,1949.0
3080.0,1182.0,4924.0
3386.0,1339.0,5133.0
4649.0,1903.0,6647.0
2412.0,714.0,5674.0
4552.0,1520.0,10687.0
596.0,220.0,1354.0
1631.0,538.0,3715.0
941.0,304.0,2095.0
1724.0,585.0,3517.0
1067.0,410.0,2537.0
2738.0,1108.0,5106.0
1278.0,492.0,2215.0
1538.0,545.0,2949.0
1252.0,586.0,2375.0
1344.0,467.0,2312.0
1353.0,413.0,2277.0
1273.0,406.0,2506.0
1610.0,540.0,2829.0
2142.0,639.0,3179.0
1285.0,404.0,2332.0
1673.0,661.0,3584.0
1772.0,516.0,3046.0
1106.0,453.0,2414.0
2023.0,749.0,4133.0
1276.0,468.0,2791.0
3026.0,1134.0,6103.0
1128.0,395.0,2572.0
852.0,357.0,1910.0
889.0,314.0,1890.0
2831.0,923.0,5405.0
1776.0,613.0,3761.0
1671.0,504.0,3333.0
2530.0,894.0,4925.0
2721.0,763.0,3994.0
3215.0,1086.0,5811.0
2352.0,734.0,4211.0
2855.0,960.0,5532.0
12203.0,3701.0,28258.0
1981.0,591.0,4909.0
3571.0,1466.0,7441.0
1972.0,623.0,4314.0
1105.0,357.0,2016.0
2759.0,760.0,5377.0
4319.0,1404.0,9167.0
1597.0,483.0,3087.0
1446.0,515.0,3170.0
1285.0,377.0,2145.0
2568.0,703.0,4209.0
2357.0,823.0,4247.0
2998.0,890.0,4458.0
307.0,100.0,407.0
3526.0,1060.0,6483.0
1213.0,338.0,1867.0
1911.0,639.0,2918.0
1524.0,467.0,2316.0
719.0,236.0,1240.0
3038.0,870.0,4458.0
1268.0,404.0,1746.0
2346.0,709.0,4572.0
2216.0,681.0,4280.0
3223.0,1316.0,6352.0
2937.0,1506.0,7477.0
2302.0,687.0,4638.0
2038.0,671.0,4377.0
1935.0,642.0,3816.0
1453.0,444.0,2806.0
2288.0,805.0,4822.0
2484.0,970.0,6473.0
3386.0,1062.0,8072.0
512.0,208.0,1280.0
1081.0,400.0,3166.0
1590.0,559.0,3742.0
3126.0,1115.0,7397.0
706.0,219.0,1655.0
793.0,456.0,2456.0
926.0,299.0,2179.0
831.0,260.0,1804.0
1700.0,520.0,3631.0
1395.0,427.0,2876.0
3329.0,1136.0,7490.0
854.0,286.0,2234.0
734.0,245.0,1898.0
1543.0,577.0,4070.0
937.0,324.0,2244.0
1181.0,474.0,2948.0
852.0,295.0,2034.0
876.0,285.0,2130.0
3926.0,1229.0,9540.0
1360.0,642.0,2702.0
161.0,102.0,522.0
315.0,123.0,775.0
769.0,461.0,1565.0
514.0,172.0,1309.0
2444.0,825.0,5519.0
1813.0,743.0,4337.0
853.0,278.0,1812.0
1895.0,742.0,4719.0
1833.0,663.0,4236.0
1699.0,640.0,3634.0
583.0,214.0,1569.0
4847.0,1950.0,13182.0
83.0,42.0,228.0
51.0,21.0,127.0
4389.0,1391.0,9621.0
2649.0,1241.0,6159.0
1952.0,576.0,4290.0
771.0,279.0,1786.0
144.0,58.0,404.0
729.0,252.0,1671.0
2595.0,1067.0,5608.0
5826.0,2125.0,12070.0
254.0,85.0,494.0
2474.0,910.0,5533.0
2222.0,662.0,3956.0
802.0,319.0,1906.0
1919.0,709.0,3433.0
950.0,372.0,1687.0
1157.0,461.0,2358.0
1761.0,572.0,2853.0
3200.0,1047.0,6296.0
1705.0,679.0,3980.0
1422.0,522.0,2647.0
702.0,263.0,1755.0
1189.0,349.0,1864.0
555.0,197.0,1078.0
8768.0,3293.0,20354.0
1392.0,680.0,3112.0
277.0,109.0,495.0
929.0,419.0,2157.0
629.0,288.0,1501.0
3489.0,1259.0,8068.0
1225.0,468.0,3023.0
1024.0,321.0,2211.0
947.0,346.0,2163.0
804.0,269.0,1773.0
900.0,354.0,1947.0
6693.0,2232.0,14701.0
338.0,152.0,1364.0
573.0,196.0,2061.0
202.0,102.0,3045.0
946.0,411.0,3545.0
1091.0,466.0,2944.0
435.0,181.0,1443.0
767.0,356.0,2277.0
618.0,277.0,1564.0
1103.0,433.0,4403.0
495.0,187.0,1133.0
369.0,157.0,1001.0
638.0,262.0,1783.0
607.0,240.0,1521.0
657.0,288.0,1374.0
546.0,214.0,1391.0
597.0,228.0,1473.0
529.0,216.0,1248.0
4930.0,287.0,1748.0
1614.0,698.0,3998.0
1793.0,600.0,3471.0
1187.0,438.0,2791.0
834.0,305.0,2084.0
2237.0,953.0,5654.0
1737.0,743.0,4221.0
806.0,306.0,1787.0
985.0,381.0,2144.0
